
Part,Section,Content
CHAPTER IX : OF BAILMENT,157,"Effect of mixture, without bailor’s consent, when the goods cannot be separated.— If the bailee, without the consent of the bailor, mixes the goods of the bailor with his own goods, in such a manner that it is impossible to separate the goods bailed from the other goods, and deliver them back, the bailor is entitled to be compensated by the bailee for the loss of the goods. Illustration: A bails a barrel of Cape flour worth Rs. 45 to B. B, without A’s consent, mixes the flour with country flour of his own, worth only Rs. 25 a barrel. B must compensate A for the loss of his flour."
CHAPTER IX : OF BAILMENT,158,"Repayment, by bailor, of necessary expenses.— Where, by the conditions of the bailment, the goods are to be kept or to be carried, or to have work done upon them by the bailee for the bailor, and the bailee is to receive no remuneration, the bailor shall repay to the bailee the necessary expenses incurred by him for the purpose of the bailment."
CHAPTER IX : OF BAILMENT,159,"Restoration of goods lent gratuitously.— The lender of a thing for use may at any time require its return, if the loan was gratuitous, even though he lent it for a specified time or purpose. But if, on the faith of such loan made for a specified time or purpose, the borrower has acted in such a manner that the return of the thing lent before the time agreed upon would cause him loss exceeding the benefit actually derived by him from the loan, the lender must, if he compels the return, indemnify the borrower for the amount in which the loss so occasioned exceeds the benefit so derived."
CHAPTER IX : OF BAILMENT,160,"Return of goods bailed, on expiration of time or accomplishment of purpose.— It is the duty of the bailee to return, or deliver according to the bailor’s directions, the goods bailed, without demand, as soon as the time for which they were bailed has expired, or the purpose for which they were bailed has been accomplished."
CHAPTER IX : OF BAILMENT,161,"Bailee’s responsibility when goods are not duly returned.— If, by the default of the bailee, the goods are not returned, delivered or tendered at the proper time, he is responsible to the bailor for any loss, destruction or deterioration of the goods from that time."
CHAPTER IX : OF BAILMENT,162,"Termination of gratuitous bailment by death.— A gratuitous bailment is terminated by the death either of the bailor or of the bailee."
CHAPTER IX : OF BAILMENT,163,"Bailor entitled to increase or profit from goods bailed.— In the absence of any contract to the contrary, the bailee is bound to deliver to the bailor, or according to his directions, any increase or profit which may have accrued from the goods bailed. Illustration: A leaves a cow in the custody of B to be taken care of. The cow has a calf. B is bound to deliver the calf as well as the cow to A."
CHAPTER IX : OF BAILMENT,164,"Bailor’s responsibility to bailee.— The bailor is responsible to the bailee for any loss which the bailee may sustain by reason that the bailor was not entitled to make the bailment, or to receive back the goods, or to give directions respecting them."
CHAPTER IX : OF BAILMENT,165,"Bailment by several joint owners.— If several joint owners of goods bail them, the bailee may deliver them back to, or according to the directions of, one joint owner without the consent of all in the absence of any agreement to the contrary."
CHAPTER IX : OF BAILMENT,166,"Bailee not responsible on re-delivery to bailor without title.— If the bailor has no title to the goods, and the bailee, in good faith, delivers them back to, or according to the directions of, the bailor, the bailee is not responsible to the owner in respect of such delivery."
CHAPTER IX : OF BAILMENT,167,"Right of third person claiming goods bailed.— If a person, other than the bailor, claims goods bailed he may apply to the Court to stop the delivery of the goods to the bailor, and to decide the title to the goods."
CHAPTER IX : OF BAILMENT,168,"Right of finder of goods; may sue for specific reward offered.— The finder of goods has no right to sue the owner for compensation for trouble and expense voluntarily incurred by him to preserve the goods and to find out the owner; but he may retain the goods against the owner until he receives such compensation; and, where the owner has offered a specific reward for the return of goods lost, the finder may sue for such reward, and may retain the goods until he receives it."
CHAPTER IX : OF BAILMENT,169,"When finder of thing commonly on sale may sell it.— When a thing which is commonly the subject of sale is lost, if the owner cannot with reasonable diligence be found, or if he refuses, upon demand, to pay the lawful charges of the finder, the finder may sell it— (1) when the thing is in danger of perishing or of losing the greater part of its value, or, (2) when the lawful charges of the finder, in respect of the thing found, amount to two-thirds of its value."
CHAPTER IX : OF BAILMENT,170,"Bailee’s particular lien.— Where the bailee has, in accordance with the purpose of the bailment, rendered any service involving the exercise of labour or skill in respect of the goods bailed, he has, in the absence of a contract to the contrary, a right to retain such goods until he receives due remuneration for the services he has rendered in respect of them. Illustrations: (a) A delivers a rough diamond to B, a jeweller, to be cut and polished, which is accordingly done. B is entitled to retain the stone till he is paid for the services he has rendered. (b) A gives cloth to B, a tailor, to make into a coat. B promises A to deliver the coat as soon as it is finished, and to give a three months' credit for the price. B is not entitled to retain the coat until he is paid."
CHAPTER IX : OF BAILMENT,171,"General lien of bankers, factors, wharfingers, attorneys and policy-brokers.— Bankers, factors, wharfingers, attorneys of a High Court and policy-brokers may, in the absence of a contract to the contrary, retain as a security for a general balance of account, any goods bailed to them; but no other persons have a right to retain, as a security for such balance, goods bailed to them, unless there is an express contract to that effect."
CHAPTER IX : OF BAILMENT Bailments of pledges,172,"'Pledge', 'pawnor', and 'pawnee' defined.— The bailment of goods as security for payment of a debt or performance of a promise is called 'pledge'. The bailor is in this case called the 'pawnor'. The bailee is called the 'pawnee'."
CHAPTER IX : OF BAILMENT Bailments of pledges,173,"Pawnee’s right of retainer.— The pawnee may retain the goods pledged, not only for payment of the debt or the performance of the promise, but for the interest of the debt, and all necessary expenses incurred by him in respect of the possession or for the preservation of the goods pledged."
CHAPTER IX : OF BAILMENT Bailments of pledges,174,"Pawnee not to retain for debt or promise other than that for which goods pledged. Presumption in case of subsequent advances.— The pawnee shall not, in the absence of a contract to that effect, retain the goods pledged for any debt or promise other than the debt or promise for which they are pledged; but such contract, in the absence of anything to the contrary, shall be presumed in regard to subsequent advances made by the pawnee."
CHAPTER IX : OF BAILMENT Bailments of pledges,175,"Pawnee’s right as to extraordinary expenses incurred.— The pawnee is entitled to receive from the pawnor extraordinary expenses incurred by him for the preservation of the goods pledged."
CHAPTER IX : OF BAILMENT Bailments of pledges,176,"Pawnee’s right where pawnor makes default.— If the pawnor makes default in payment of the debt, or performance, at the stipulated time of the promise, in respect of which the goods were pledged, the pawnee may bring a suit against the pawnor upon the debt or promise, and retain the goods pledged as a collateral security; or he may sell the thing pledged, on giving the pawnor reasonable notice of the sale. If the proceeds of such sale are less than the amount due in respect of the debt or promise, the pawnor is still liable to pay the balance. If the proceeds of the sale are greater than the amount so due, the pawnee shall pay over the surplus to the pawnor."
CHAPTER IX : OF BAILMENT Bailments of pledges,177,"Defaulting pawnor’s right to redeem.— If a time is stipulated for the payment of the debt, or performance of the promise, for which the pledge is made, and the pawnor makes default in payment of the debt or performance of the promise at the stipulated time, he may redeem the goods pledged at any subsequent time before the actual sale of them; but he must, in that case, pay, in addition, any expenses which have arisen from his default."
CHAPTER IX : OF BAILMENT Bailments of pledges,178,"Pledge by mercantile agent.— Where a mercantile agent is, with the consent of the owner, in possession of goods or the document of title to goods, any pledge made by him, when acting in the ordinary course of business of a mercantile agent, shall be as valid as if he were expressly authorised by the owner of the goods to make the same; provided that the pawnee acts in good faith and has not at the time of the pledge notice that the pawnor has not authority to pledge. Explanation.— In this section, the expressions 'mercantile agent' and 'documents of title' shall have the meanings assigned to them in the Indian Sale of Goods Act, 1930 (3 of 1930)."
CHAPTER IX : OF BAILMENT Bailments of pledges,178A,"Pledge by person in possession under voidable contract.— When the pawnor has obtained possession of the goods pledged by him under a contract voidable under section 19 or section 19A, but the contract has not been rescinded at the time of the pledge, the pawnee acquires a good title to the goods, provided he acts in good faith and without notice of the pawnor’s defect of title."
CHAPTER IX : OF BAILMENT Bailments of pledges,179,"Pledge where pawnor has only a limited interest.— Where a person pledges goods in which he has only a limited interest, the pledge is valid to the extent of that interest."
CHAPTER IX : OF BAILMENT Suits by bailees or bailors against wrong-doers,180,"Suit by bailor or bailee against wrong-doer.— If a third person wrongfully deprives the bailee of the use or possession of the goods bailed, or does them any injury, the bailee is entitled to use such remedies as the owner might have used in the like case if no bailment had been made; and either the bailor or the bailee may bring a suit against a third person for such deprivation or injury."
CHAPTER IX : OF BAILMENT Suits by bailees or bailors against wrong-doers,181,"Apportionment of relief or compensation obtained by such suits.— Whatever is obtained by way of relief or compensation in any such suit shall, as between the bailor and the bailee, be dealt with according to their respective interests."
CHAPTER X : AGENCY Appointment and authority of, 182,"'Agent' and “principal” defined.—An “agent” is a person employed to do any act for another, or to represent another in dealings with third persons. The person for whom such act is done, or who is so represented, is called the “principal"
CHAPTER X : AGENCY Appointment and authority of, 183,"Who may employ agent.—Any person who is of the age of majority according to the law to which he is subject, and who is of sound mind, may employ an agent"
CHAPTER X : AGENCY Appointment and authority of, 184,"Who may be an agent.—As between the principal and third persons, any person may become an agent, but no person who is not of the age of majority and of sound mind can become an agent, so as to be responsible to his principal according to the provisions in that behalf herein contained"
CHAPTER X : AGENCY Appointment and authority of, 185,"Consideration not necessary.—No consideration is necessary to create an agency"
CHAPTER X : AGENCY Appointment and authority of, 186," Agent’s authority may be expressed or implied.—The authority of an agent may be expressed or implied"
CHAPTER X : AGENCY Appointment and authority of, 187,"Definitions of express and implied authority.—An authority is said to be express when it is given by words spoken or written. An authority is said to be implied when it is to be inferred from the circumstances of the case; and things spoken or written, or the ordinary course of dealing, may be accounted circumstances of the case"
CHAPTER X : AGENCY Appointment and authority of, 188,"188. Extent of agent’s authority.—An agent, having an authority to do an act, has authority to do every lawful thing which is necessary in order to do such act. An agent having an authority to carry on a business, has authority to do every lawful thing necessary for the purpose, or usually done in the course, of conducting such business"
CHAPTER X : AGENCY Appointment and authority of, 189,"Agent’s authority in an emergency.—An agent has authority, in an emergency, to do all such acts for the purpose of protecting his principal from loss as would be done by a person of ordinary prudence, in his own case, under similar circumstances"
CHAPTER X : AGENCY Sub-agents, 190," When agent cannot delegate.—An agent cannot lawfully employ another to perform acts which he has expressly or impliedly undertaken to perform personally, unless by the ordinary custom of trade a sub-agent may, or, from the nature of the agency, a sub-agent must, be employed"
CHAPTER X : AGENCY Sub-agents, 191,"“Sub-agent” defined.—A “sub-agent” is a person employed by, and acting under the control of, the original agent in the business of the agency"
CHAPTER X : AGENCY Sub-agents, 192,"Representation of principal by sub-agent properly appointed.—Where a sub-agent is properly appointed, the principal is, so far as regards third persons, represented by the sub-agent, and is bound by and responsible for his acts, as if he were an agent originally appointed by the principal. Agent’s responsibility for sub-agent.—The agent is responsible to the principal for the acts of the sub-agent. Sub-agent’s responsibility.—The sub-agent is responsible for his acts to the agent, but not tothe principal, except in cases of fraud or wilful wrong"
CHAPTER X : AGENCY Sub-agents, 193,"Agent’s responsibility for sub-agent appointed without authority.—Where an agent, without having authority to do so, has appointed a person to act as a sub-agent, the agent stands towards such person in the relation of a principal to an agent, and is responsible for his acts both to the principal and to third persons; the principal is not represented, by or responsible for the acts of the person so employed, nor is that person responsible to the principal"
CHAPTER X : AGENCY Sub-agents, 194,"Relation between principal and person duly appointed by agent to act in business of agency.—Where an agent, holding an express or implied authority to name another person to act for the principal in the business of the agency, has named another person accordingly, such person is not a sub-agent, but an agent of the principal for such part of the business of the agency as is entrusted to him"
CHAPTER X : AGENCY Sub-agents, 195,"Agent’s duty in naming such person.—In selecting such agent for his principal, an agent is bound to exercise the same amount of discretion as a man of ordinary prudence would exercise in his own case; and, if he does this, he is not responsible to the principal for the acts or negligence of the agent so selected."
CHAPTER X : AGENCY Ratification, 196,"Right of person as to acts done for him without his authority. Effect of ratification.—Where acts are done by one person on behalf of another, but without his knowledge or authority, he may elect to ratify or to disown such acts. If he ratify them, the same effects will follow as if they had been performed by his authority."
CHAPTER X : AGENCY Ratification, 197,"Ratification may be expressed or implied.—Ratification may be expressed or may be implied in the conduct of the person on whose behalf the acts are done."
CHAPTER X : AGENCY Ratification, 198,"Knowledge requisite for valid ratification.—No valid ratification can be made by a person whose knowledge of the facts of the case is materially defective."
CHAPTER X : AGENCY Ratification, 199,"Effect of ratifying unauthorized act forming part of a transaction.—A person ratifying any unauthorized act done on his behalf ratifies the whole of the transaction of which such act formed a part."
CHAPTER X : AGENCY Ratification, 200,"Ratification of unauthorized act cannot injure third person.—An act done by one person on behalf of another, without such other person’s authority, which, if done with authority, would have the effect of subjecting a third person to damages, or of terminating any right or interest of a third person, cannot, by ratification, be made to have such effect."
CHAPTER X : AGENCY Revocation of authority, 201,"Termination of agency.—An agency is terminated by the principal revoking his authority; or by the agent renouncing the business of the agency; or by the business of the agency being completed; or by either the principal or agent dying or becoming of unsound mind; or by the principal being adjudicated an insolvent under the provisions of any Act for the time being in force for the relief of insolvent debtors."
CHAPTER X : AGENCY Revocation of authority, 202,"Termination of agency, where agent has an interest in subject-matter.—Where the agent has himself an interest in the property which forms the subject-matter of the agency, the agency cannot, in the absence of an express contract, be terminated to the prejudice of such interest."
CHAPTER X : AGENCY Revocation of authority, 203,"When principal may revoke agent’s authority.—The principal may, save as is otherwise provided by the last preceding section, revoke the authority given to his agent at any time before the authority has been exercised so as to bind the principal."
CHAPTER X : AGENCY Revocation of authority, 204,"Revocation where authority has been partly exercised.—The principal cannot revoke the authority given to his agent after the authority has been partly exercised, so far as regards such acts and obligations as arise from acts already done in the agency."
CHAPTER X : AGENCY Revocation of authority, 205,"Compensation for revocation by principal, or renunciation by agent.—Where there is an express or implied contract that the agency should be continued for any period of time, the principal must make compensation to the agent, or the agent to the principal, as the case may be, for any previous revocation or renunciation of the agency without sufficient cause."
CHAPTER X : AGENCY Revocation of authority, 206,"Notice of revocation or renunciation.—Reasonable notice must be given of such revocation or renunciation, otherwise the damage thereby resulting to the principal or the agent, as the case may be, must be made good to the one by the other."
CHAPTER X : AGENCY Revocation of authority, 207,"Revocation and renunciation may be expressed or implied.—Revocation and renunciation may be expressed or may be implied in the conduct of the principal or agent respectively."
CHAPTER X : AGENCY Revocation of authority, 208,"When termination of agent’s authority takes effect as to agent, and as to third persons.—The termination of the authority of an agent does not, so far as regards the agent, take effect before it becomes known to him, or, so far as regards third persons, before it becomes known to them."
CHAPTER X : AGENCY Revocation of authority, 209,"Agent’s duty on termination of agency by principal’s death or insanity.—When an agency is terminated by the principal dying or becoming of unsound mind, the agent is bound to take, on behalf of the representatives of his late principal, all reasonable steps for the protection and preservation of the interests entrusted to him."
CHAPTER X : AGENCY Revocation of authority, 210,"Termination of sub-agent’s authority.—The termination of the authority of an agent causes the termination (subject to the rules herein contained regarding the termination of an agent’s authority) of the authority of all sub-agents appointed by him."
CHAPTER X : AGENCY Agent’s duty to principal, 211,"Agent’s duty in conducting principal’s business.—An agent is bound to conduct the business of his principal according to the directions given by the principal, or, in the absence of any such directions, according to the custom which prevails in doing business of the same kind at the place where the agent conducts such business. When the agent acts otherwise, if any loss be sustained, he must make it good to his principal, and if any profit accrues, he must account for it."
CHAPTER X : AGENCY Agent’s duty to principal, 212,"Skill and diligence required from agent.—An agent is bound to conduct the business of the agency with as much skill as is generally possessed by persons engaged in similar business, unless the principal has notice of his want of skill. The agent is always bound to act with reasonable diligence, and to use such skill as he possesses; and to make compensation to his principal in respect of the direct consequences of his own neglect, want of skill, or misconduct, but not in respect of loss or damage which are indirectly or remotely caused by such neglect, want of skill, or misconduct."
CHAPTER X : AGENCY Agent’s duty to principal, 213,"Agent’s accounts.—An agent is bound to render proper accounts to his principal on demand."
CHAPTER X : AGENCY Agent’s duty to principal, 214,"Agent’s duty to communicate with principal.—It is the duty of an agent, in cases of difficulty, to use all reasonable diligence in communicating with his principal, and in seeking to obtain his instructions."
CHAPTER X : AGENCY Agent’s duty to principal, 215,"Right of principal when agent deals, on his own account, in business of agency without principal’s consent.—If an agent deals on his own account in the business of the agency, without firstobtaining the consent of his principal and acquainting him with all material circumstances which have come to his own knowledge on the subject, the principal may repudiate the transaction, if the case shows, either that any material fact has been dishonestly concealed from him by the agent, or that the dealings of the agent have been disadvantageous to him."
CHAPTER X : AGENCY Agent’s duty to principal, 216,"Principal’s right to benefit gained by agent dealing on his own account in business of agency.—If an agent, without the knowledge of his principal, deals in the business of the agency on his own account instead of on account of his principal, the principal is entitled to claim from the agent any benefit which may have resulted to him from the transaction."
CHAPTER X : AGENCY Agent’s duty to principal, 217,"Agent’s right of retainer out of sums received on principal’s account.—An agent may retain, out of any sums received on account of the principal in the business of the agency, all moneys due to himself in respect of advances made or expenses properly incurred by him in conducting such business, and also such remuneration as may be payable to him for acting as agent."
CHAPTER X : AGENCY Agent’s duty to principal, 218,"Agent’s duty to pay sums received for principal.—Subject to such deductions, the agent is bound to pay to his principal all sums received on his account."
CHAPTER X : AGENCY Agent’s duty to principal, 219,"When agent’s remuneration becomes due.—In the absence of any special contract, payment for the performance of any act is not due to the agent until the completion of such act; but an agent may detain moneys received by him on account of goods sold, although the whole of the goods consigned to him for sale may not have been sold, or although the sale may not be actually complete."
CHAPTER X : AGENCY Agent’s duty to principal, 220,"Agent not entitled to remuneration for business misconducted.—An agent who is guilty ofmisconduct in the business of the agency, is not entitled to any remuneration in respect of that part of the business which he has misconducted."
CHAPTER X : AGENCY Agent’s duty to principal, 221,"Agent’s lien on principal’s property.—In the absence of any contract to the contrary, an agent is entitled to retain goods, papers and other property, whether movable or immovable of the principal received by him, until the amount due to himself for commission, disbursements and services in respect of the same has been paid or accounted for to him."
CHAPTER X : AGENCY Principal’s duty to agent, 222,"Agent to be indemnified against consequences of lawful acts.—The employer of an agent is bound to indemnify him against the consequences of all lawful acts done by such agent in exercise of the authority conferred upon him."
CHAPTER X : AGENCY Principal’s duty to agent, 223,"Agent to be indemnified against consequences of acts done in good faith.—Where one person employs another to do an act, and the agent does the act in good faith, the employer is liable to indemnify the agent against the consequences of that act, though it cause an injury to the rights of third persons."
CHAPTER X : AGENCY Principal’s duty to agent, 224,"Non-liability of employer of agent to do a criminal act.—Where one person employs another to do an act which is criminal, the employer is not liable to the agent, either upon an express or an implied promise, to indemnify him against the consequences of that Act1."
CHAPTER X : AGENCY Principal’s duty to agent, 225,"Compensation to agent for injury caused by principal’s neglect.—The principal must make compensation to his agent in respect of injury2caused to such agent by the principal’s neglect or want of skill."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 226,"Enforcement and consequences of agent’s contracts.—Contracts entered into through an agent, and obligations arising from acts done by an agent, may be enforced in the same manner, and will have the same legal consequences, as if the contracts had been entered into and the acts done by the principal in person."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 227,"Principal how far bound, when agent exceeds authority.—When an agent does more than he is authorized to do, and when the part of what he does, which is within his authority, can be separated from the part which is beyond his authority, so much only of what he does as is within his authority is binding as between him and his principal."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 228,"Principal not bound when excess of agent’s authority is not separable.—Where an agent does more than he is authorized to do, and what he does beyond the scope of his authority cannot be separated from what is within it, the principal is not bound to recognize the transaction."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 229,"Consequences of notice given to agent.—Any notice given to or information obtained by the agent, provided it be given or obtained in the course of the business transacted by him for the principal, shall, as between the principal and third parties, have the same legal consequences as if it had been given to or obtained by the principal."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 230,"Agent cannot personally enforce, nor be bound by, contracts on behalf of principal.—In the absence of any contract to that effect, an agent cannot personally enforce contracts entered into by him on behalf of his principal, nor is he personally bound by them. Presumption of contract to contrary—Such a contract shall be presumed to exist in the following cases:— (1) where the contract is made by an agent for the sale or purchase of goods for a merchant resident abroad; (2) where the agent does not disclose the name of his principal; (3) where the principal, though disclosed, cannot be sued."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 231,"Rights of parties to a contract made by agent not disclosed.—If an agent makes a contract with a person who neither knows, nor has reason to suspect, that he is an agent, his principal may require the performance of the contract; but the other contracting party has, as against the principal, the same rights as he would have had as against the agent if the agent had been principal. If the principal discloses himself before the contract is completed, the other contracting party may refuse to fulfil the contract, if he can show that, if he had known who was the principal in the contract, or if he had known that the agent was not a principal, he would not have entered into the contract."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 232,"Performance of contract with agent supposed to be principal.—Where one man makes a contract with another, neither knowing nor having reasonable ground to suspect that the other is an agent, the principal, if he requires the performance of the contract, can only obtain such performance subject to the rights and obligations subsisting between the agent and the other party to the contract."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 233,"Right of person dealing with agent personally liable.—In cases where the agent is personally liable, a person dealing with him may hold either him or his principal, or both of them, liable."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 234,"Consequence of inducing agent or principal to act on belief that principal or agent will be held exclusively liable.—When a person who has made a contract with an agent induces the agent to act upon the belief that the principal only will be held liable, or induces the principal to act upon the belief that the agent only will be held liable, he cannot afterwards hold liable the agent or principal respectively."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 235,"Liability of pretended agent.—A person untruly representing himself to be the authorized agent of another, and thereby inducing a third person to deal with him as such agent, is liable, if his alleged employer does not ratify his acts, to make compensation to the other in respect of any loss or damage which he has incurred by so dealing."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 236,"Person falsely contracting as agent not entitled to performance.—A person with whom a contract has been entered into in the character of agent, is not entitled to require the performance of it, if he was in reality acting, not as agent, but on his own account."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 237,"Liability of principal inducing belief that agent’s unauthorized acts were authorized.— When an agent has, without authority, done acts or incurred obligations to third persons on behalf of his principal, the principal is bound by such acts or obligations, if he has by his words or conduct induced such third persons to believe that such acts and obligations were within the scope of the agent’s authority."
CHAPTER X : AGENCY Effect of agency on contracts with third persons, 238,"Effect, on agreement, of misrepresentation of fraud, by agent.—Misrepresentation made, or frauds committed, by agents acting in the course of their business for their principals, have the same effect on agreements made by such agents as if such misrepresentations or frauds had been made or committed by the principals; but misrepresentations made, or frauds committed, by agents, in matters which do not fall within their authority, do not affect their principals."
CHAPTER XI : OF PARTNERSHIP, 239, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 240, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 241, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 242, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 243, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 244, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 245, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 246, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 247, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 248, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 249, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 249, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 250, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 251, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 252, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 253, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 254, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 255, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 256, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 257, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 258, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 259, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 260, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 261, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 262, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 263, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 264, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 265, [Repealed.].
CHAPTER XI : OF PARTNERSHIP, 266, [Repealed.].
SCHEDULE—, , [Repealed.]

